Year,Mounth,Value,Anomaly
1995,01,59.8,2.1
1995,02,66.5,4.3
1995,03,67.8,-1.6
1995,04,77.3,-0.5
1995,05,84.0,-0.7
1995,06,89.4,-2.2
1995,07,95.2,0.8
1995,08,93.6,-0.6
1995,09,86.9,-1.1
1995,10,80.9,2.0
1995,11,69.3,2.1
1995,12,60.5,1.5
1996,01,61.0,3.3
1996,02,67.1,4.9
1996,03,67.4,-2.0
1996,04,79.6,1.8
1996,05,91.0,6.3
1996,06,93.5,1.9
1996,07,95.4,1.0
1996,08,90.8,-3.4
1996,09,84.8,-3.2
1996,10,78.5,-0.4
1996,11,67.9,0.7
1996,12,63.2,4.2
1997,01,56.0,-1.7
1997,02,59.2,-3.0
1997,03,72.2,2.8
1997,04,71.2,-6.6
1997,05,82.1,-2.6
1997,06,88.8,-2.8
1997,07,94.7,0.3
1997,08,93.7,-0.5
1997,09,90.4,2.4
1997,10,78.2,-0.7
1997,11,64.2,-3.0
1997,12,56.8,-2.2
1998,01,63.1,5.4
1998,02,62.9,0.7
1998,03,67.4,-2.0
1998,04,77.4,-0.4
1998,05,91.2,6.5
1998,06,97.0,5.4
1998,07,99.2,4.8
1998,08,93.9,-0.3
1998,09,91.0,3.0
1998,10,79.2,0.3
1998,11,68.9,1.7
1998,12,59.8,0.8
1999,01,64.2,6.5
1999,02,70.9,8.7
1999,03,69.4,0.0
1999,04,79.6,1.8
1999,05,84.7,0.0
1999,06,89.6,-2.0
1999,07,93.0,-1.4
1999,08,97.5,3.3
1999,09,88.8,0.8
1999,10,80.5,1.6
1999,11,74.6,7.4
1999,12,62.2,3.2
2000,01,64.1,6.4
2000,02,71.0,8.8
2000,03,74.3,4.9
2000,04,79.5,1.7
2000,05,89.2,4.5
2000,06,88.6,-3.0
2000,07,96.9,2.5
2000,08,97.6,3.4
2000,09,92.8,4.8
2000,10,77.4,-1.5
2000,11,61.3,-5.9
2000,12,53.2,-5.8
2001,01,54.3,-3.4
2001,02,63.5,1.3
2001,03,64.0,-5.4
2001,04,79.9,2.1
2001,05,86.4,1.7
2001,06,93.2,1.6
2001,07,97.4,3.0
2001,08,94.7,0.5
2001,09,86.6,-1.4
2001,10,79.1,0.2
2001,11,69.9,2.7
2001,12,61.3,2.3
2002,01,61.7,4.0
2002,02,60.6,-1.6
2002,03,69.0,-0.4
2002,04,80.6,2.8
2002,05,86.5,1.8
2002,06,92.4,0.8
2002,07,91.3,-3.1
2002,08,94.7,0.5
2002,09,88.2,0.2
2002,10,74.1,-4.8
2002,11,64.9,-2.3
2002,12,59.3,0.3
2003,01,58.6,0.9
2003,02,59.3,-2.9
2003,03,69.9,0.5
2003,04,80.2,2.4
2003,05,88.2,3.5
2003,06,90.0,-1.6
2003,07,93.6,-0.8
2003,08,95.2,1.0
2003,09,84.9,-3.1
2003,10,79.9,1.0
2003,11,69.4,2.2
2003,12,63.4,4.4
2004,01,60.0,2.3
2004,02,58.6,-3.6
2004,03,72.7,3.3
2004,04,75.7,-2.1
2004,05,85.5,0.8
2004,06,89.6,-2.0
2004,07,91.9,-2.5
2004,08,90.7,-3.5
2004,09,87.0,-1.0
2004,10,80.4,1.5
2004,11,65.6,-1.6
2004,12,60.4,1.4
2005,01,61.8,4.1
2005,02,61.2,-1.0
2005,03,69.4,0.0
2005,04,78.2,0.4
2005,05,83.5,-1.2
2005,06,92.9,1.3
2005,07,94.7,0.3
2005,08,93.0,-1.2
2005,09,93.2,5.2
2005,10,79.2,0.3
2005,11,73.4,6.2
2005,12,61.4,2.4
2006,01,68.3,10.6
2006,02,64.2,2.0
2006,03,73.5,4.1
2006,04,84.4,6.6
2006,05,89.3,4.6
2006,06,93.9,2.3
2006,07,95.4,1.0
2006,08,95.3,1.1
2006,09,86.2,-1.8
2006,10,79.3,0.4
2006,11,71.7,4.5
2006,12,60.2,1.2
2007,01,52.1,-5.6
2007,02,62.2,0.0
2007,03,73.7,4.3
2007,04,74.0,-3.8
2007,05,81.5,-3.2
2007,06,88.5,-3.1
2007,07,88.9,-5.5
2007,08,92.7,-1.5
2007,09,88.2,0.2
2007,10,82.7,3.8
2007,11,70.4,3.2
2007,12,62.6,3.6
2008,01,59.0,1.3
2008,02,68.4,6.2
2008,03,72.6,3.2
2008,04,79.6,1.8
2008,05,87.2,2.5
2008,06,95.5,3.9
2008,07,93.4,-1.0
2008,08,91.8,-2.4
2008,09,85.1,-2.9
2008,10,79.3,0.4
2008,11,70.9,3.7
2008,12,62.1,3.1
2009,01,63.1,5.4
2009,02,70.5,8.3
2009,03,72.7,3.3
2009,04,78.6,0.8
2009,05,85.6,0.9
2009,06,94.3,2.7
2009,07,96.4,2.0
2009,08,95.9,1.7
2009,09,85.0,-3.0
2009,10,75.6,-3.3
2009,11,70.9,3.7
2009,12,53.9,-5.1
2010,01,56.5,-1.2
2010,02,54.0,-8.2
2010,03,68.3,-1.1
2010,04,77.4,-0.4
2010,05,86.0,1.3
2010,06,94.2,2.6
2010,07,90.9,-3.5
2010,08,97.0,2.8
2010,09,89.2,1.2
2010,10,82.0,3.1
2010,11,70.9,3.7
2010,12,63.0,4.0
2011,01,58.2,0.5
2011,02,62.9,0.7
2011,03,76.2,6.8
2011,04,85.7,7.9
2011,05,87.8,3.1
2011,06,99.0,7.4
2011,07,99.7,5.3
2011,08,101.6,7.4
2011,09,92.6,4.6
2011,10,81.1,2.2
2011,11,70.3,3.1
2011,12,55.7,-3.3
2012,01,64.4,6.7
2012,02,62.9,0.7
2012,03,75.6,6.2
2012,04,83.9,6.1
2012,05,87.7,3.0
2012,06,95.1,3.5
2012,07,95.1,0.7
2012,08,96.4,2.2
2012,09,89.2,1.2
2012,10,78.5,-0.4
2012,11,73.4,6.2
2012,12,64.6,5.6
2013,01,59.4,1.7
2013,02,64.9,2.7
2013,03,71.8,2.4
2013,04,77.1,-0.7
2013,05,85.2,0.5
2013,06,94.0,2.4
2013,07,92.7,-1.7
2013,08,95.8,1.6
2013,09,90.2,2.2
2013,10,79.1,0.2
2013,11,64.3,-2.9
2013,12,56.7,-2.3
2014,01,59.0,1.3
2014,02,61.1,-1.1
2014,03,68.9,-0.5
2014,04,79.1,1.3
2014,05,85.1,0.4
2014,06,91.4,-0.2
2014,07,93.1,-1.3
2014,08,94.7,0.5
2014,09,86.6,-1.4
2014,10,82.8,3.9
2014,11,63.6,-3.6
2014,12,60.5,1.5
2015,01,54.6,-3.1
2015,02,60.4,-1.8
2015,03,67.4,-2.0
2015,04,78.1,0.3
2015,05,81.9,-2.8
2015,06,89.9,-1.7
2015,07,94.5,0.1
2015,08,96.1,1.9
2015,09,91.6,3.6
2015,10,81.6,2.7
2015,11,68.3,1.1
2015,12,64.1,5.1
2016,01,58.8,1.1
2016,02,69.0,6.8
2016,03,74.3,4.9
2016,04,78.6,0.8
2016,05,82.8,-1.9
2016,06,91.2,-0.4
2016,07,97.4,3.0
2016,08,92.2,-2.0
2016,09,88.4,0.4
2016,10,84.0,5.1
2016,11,72.5,5.3
2016,12,60.2,1.2
2017,01,63.0,5.3
2017,02,72.0,9.8
2017,03,76.4,7.0
2017,04,80.1,2.3
2017,05,85.0,0.3
2017,06,92.3,0.7
2017,07,95.5,1.1
2017,08,91.2,-3.0
2017,09,88.4,0.4
2017,10,80.0,1.1
2017,11,73.2,6.0
2017,12,59.7,0.7
2018,01,57.8,0.1
2018,02,64.7,2.5
2018,03,74.9,5.5
2018,04,77.8,0.0
2018,05,90.9,6.2
2018,06,95.8,4.2
2018,07,96.8,2.4
2018,08,95.0,0.8
2018,09,85.7,-2.3
2018,10,74.6,-4.3
2018,11,63.9,-3.3
2018,12,59.2,0.2
2019,01,58.9,1.2
2019,02,63.2,1.0
2019,03,67.2,-2.2
2019,04,78.2,0.4
2019,05,82.9,-1.8
2019,06,90.8,-0.8
2019,07,94.8,0.4
2019,08,98.3,4.1
2019,09,93.1,5.1
2019,10,78.3,-0.6
2019,11,65.9,-1.3
2019,12,64.4,5.4
2020,01,62.8,5.1
2020,02,61.5,-0.7
2020,03,73.9,4.5
2020,04,78.2,0.4
2020,05,87.7,3.0
2020,06,92.9,1.3
2020,07,97.0,2.6
2020,08,97.5,3.3
2020,09,85.6,-2.4
2020,10,79.9,1.0
2020,11,74.2,7.0
2020,12,62.6,3.6
2021,01,58.9,1.2
2021,02,56.0,-6.2
2021,03,72.8,3.4
2021,04,76.1,-1.7
2021,05,82.4,-2.3
2021,06,91.2,-0.4
2021,07,91.2,-3.2
2021,08,92.8,-1.4
2021,09,91.6,3.6
2021,10,83.2,4.3
2021,11,70.8,3.6
2021,12,72.2,13.2
2022,01,60.2,2.5
2022,02,60.0,-2.2
2022,03,72.5,3.1
2022,04,82.6,4.8
2022,05,91.3,6.6
2022,06,96.4,4.8
2022,07,100.0,5.6
2022,08,94.4,0.2
2022,09,90.3,2.3
2022,10,79.7,0.8
2022,11,64.7,-2.5
2022,12,61.1,2.1
